Gene,Tier,Homo_sapiens,Macaca_mulatta,Mus_musculus,Rattus_norvegicus,Ailuropoda_melanoleuca,Aotus_nancymaae,Bos_taurus,Callithrix_jacchus,Camelus_dromedarius,Canis_lupus_familiaris,Capra_hircus,Cavia_porcellus,Ceratotherium_simum_simum,Cercocebus_atys,Chinchilla_lanigera,Chlorocebus_sabaeus,Chrysochloris_asiatica,Condylura_cristata,Cricetulus_griseus,Dasypus_novemcinctus,Dipodomys_ordii,Echinops_telfairi,Elephantulus_edwardii,Eptesicus_fuscus,Equus_caballus,Erinaceus_europaeus,Felis_catus,Galeopterus_variegatus,Gorilla_gorilla_gorilla,Heterocephalus_glaber,Ictidomys_tridecemlineatus,Jaculus_jaculus,Loxodonta_africana,Macaca_fascicularis,Macaca_nemestrina,Mandrillus_leucophaeus,Manis_javanica,Mesocricetus_auratus,Microcebus_murinus,Microtus_ochrogaster,Miniopterus_natalensis,Monodelphis_domestica,Mustela_putorius_furo,Nannospalax_galili,Nomascus_leucogenys,Ochotona_princeps,Octodon_degus,Odobenus_rosmarus_divergens,Orcinus_orca,Oryctolagus_cuniculus,Otolemur_garnettii,Ovis_aries,Pan_paniscus,Pan_troglodytes,Papio_anubis,Pongo_abelii,Propithecus_coquereli,Pteropus_vampyrus,Rhinopithecus_roxellana,Rousettus_aegyptiacus,Saimiri_boliviensis_boliviensis,Sorex_araneus,Sus_scrofa,Trichechus_manatus_latirostris,Tupaia_chinensis,Tursiops_truncatus
SLC6A2,Alcohol,NM_001043,nm_001033023.1,nm_009209.3,nm_031343.1,xm_002912242.2,xm_012447930.1,nm_174608.2,xm_002760957.3,xm_010990060.1,xm_005617241.1,xm_005691988.3,xm_003477494.2,xm_004431610.2,xm_012065953.1,xm_005388320.2,xm_007993332.1,xm_006863527.1,xm_004693538.2,xm_007621232.1,xm_004455055.2,xm_013027910.1,xm_004704662.2,xm_006882522.1,xm_008152331.1,xm_001493321.4,xm_007532707.2,xm_019819762.1,xm_008593464.1,xm_019011374.1,xm_013073307.1,xm_013365598.1,xm_004664867.1,xm_010596153.1,xm_015443246.1,xm_011762235.1,xm_011971910.1,xm_017646308.1,xm_005079146.2,xm_012755959.1,xm_005369590.1,xm_016221006.1,xm_007474877.1,xm_004744202.2,xm_008830089.1,xm_012504654.1,xm_004583861.1,xm_004637012.1,xm_004395817.2,xm_004264907.1,xm_017342230.1,xm_003792547.1,xm_015100446.1,xm_003811475.2,xm_009430817.2,xm_009196459.2,xm_009250734.1,xm_012662672.1,xm_011360178.1,xm_010374981.1,xm_016124098.1,xm_010347851.1,xm_012932116.1,xm_003126976.4,xm_004371576.1,xm_006148383.1,xm_019932543.1
SLC6A3,Nicotine,NM_001044,xm_015139698.1,nm_010020.3,nm_012694.2,xm_019799247.1,xm_012475222.1,xm_015468393.1,xm_002745144.3,xm_010995443.1,nm_001136500.1,xm_018065473.1,xm_003462109.1,xm_014795016.1,xm_012092118.1,xm_005407057.2,xm_007961143.1,xm_006872377.1,xm_012721731.1,xm_007622102.1,xm_004460188.1,xm_013013853.1,xm_004698393.1,xm_006893164.1,xm_008161812.1,xm_014734983.1,xm_007520558.2,xm_019813090.1,xm_008591362.1,xm_019013005.1,xm_004845138.2,xm_005340746.1,xm_004666120.1,xm_003408141.1,nm_001283324.1,xm_011712558.1,xm_011964729.1,xm_017666075.1,xm_005079146.2,xm_012774121.1,xm_005356710.1,xm_016212165.1,xm_007486792.2,xm_004768387.2,xm_008852513.1,xm_003263195.2,xm_004597922.1,xm_004625269.1,xm_004411632.2,xm_004274508.1,xm_008253990.1,xm_012812858.1,xm_015101206.1,xm_003805189.2,xm_016952898.1,xm_003899462.2,xm_009240553.1,xm_012663719.1,xm_011373901.1,xm_010371458.1,xm_016124658.1,xm_010343092.1,xm_004621391.1,xm_005674638.2,xm_004380281.2,xm_006140123.2,xm_019951021.1
SLC6A4,1,NM_001045,xm_015118836.1,xm_006532301.3,xm_017597043.1,xm_019799160.1,xm_012449432.1,nm_174609.2,xm_008997142.1,xm_010978939.1,xm_005624348.2,xm_018064359.1,nm_001173018.1,xm_004433341.1,xm_012072529.1,xm_005402663.2,xm_008010933.1,xm_006863198.1,xm_004684821.2,xm_003506082.3,xm_012521703.1,xm_013016386.1,xm_004706896.1,xm_006890990.1,xm_008147853.1,xm_014735871.1,xm_007520431.1,xm_019817396.1,xm_008584166.1,xm_004041990.2,xm_004857080.2,xm_005327866.1,xm_004667878.1,xm_003416785.2,xm_005583332.2,xm_011733040.1,xm_011990380.1,xm_017674110.1,xm_013111559.1,xm_012740757.2,xm_005349506.1,xm_016201970.1,xm_001369394.4,xm_004746922.2,xm_008828733.1,xm_012503491.1,xm_004593939.2,xm_004635375.1,xm_004399702.2,xm_004267096.1,xm_008270954.2,xm_012811576.1,nm_001009446.1,xm_003812715.2,xm_001135066.4,xm_003912554.3,xm_009251473.1,xm_012657316.1,xm_011359910.1,xm_010367953.1,xm_016138990.1,xm_010342091.1,xm_004605001.1,xm_013981192.1,xm_004376179.1,xm_014584601.1,xm_019926960.1
SMARCD1,Alcohol,NM_003076,xm_001111275.3,nm_031842.2,nm_001108752.1,xm_011228883.2,xm_012441313.1,xm_015470989.1,xm_002752445.3,xm_010989698.1,xm_543674.5,xm_018047808.1,xm_003475787.3,xm_004429003.2,xm_012048322.1,xm_005411867.2,xm_008003204.1,xm_006870060.1,xm_004692765.2,xm_016973019.1,xm_004477881.2,xm_013018829.1,xm_004711394.1,xm_006900245.1,xm_008140662.1,xm_005611169.2,xm_007528485.1,xm_003988680.4,xm_008583033.1,xm_004053114.2,xm_004862998.2,xm_013358415.1,xm_004649822.2,xm_003405770.2,xm_005570811.2,xm_011760130.1,xm_011964604.1,xm_017675277.1,xm_005067231.2,xm_012761963.2,xm_005353906.1,xm_016201262.1,xm_001364029.3,xm_004778840.2,xm_008848764.2,xm_012508565.1,xm_004599000.2,xm_004637802.2,xm_004400837.2,xm_004274342.2,xm_008256439.2,xm_003790365.2,xm_015094684.1,xm_003825857.3,xm_016923431.1,xm_003906358.3,xm_002823208.3,xm_012653891.1,xm_011368312.1,xm_010385359.1,xm_016151822.1,xm_003939152.2,xm_004601454.2,nm_001244613.1,xm_004388312.2,xm_014584090.1,xm_019934469.1
SMN1,1,NM_000344,nm_001260664.1,nm_011420.2,nm_022509.1,xm_019796044.1,xm_012462199.1,nm_175701.1,xm_017969874.1,xm_010974970.1,xm_005617216.2,xm_018065743.1,xm_013154251.1,xm_004420470.2,xm_012089373.1,xm_005413922.2,xm_007974733.1,xm_006870990.1,xm_004678224.2,xm_003503680.3,xm_004465623.2,xm_013015900.1,xm_004703551.1,xm_006900035.1,xm_008161908.1,xm_014730413.1,xm_007531255.2,nm_001009328.1,xm_008575637.1,xm_019013319.1,xm_013068512.1,xm_005328968.2,xm_012952076.1,xm_003408086.2,nm_001283627.1,xm_011730227.1,xm_011985236.1,xm_017675996.1,xm_005065608.2,xm_012783189.2,xm_013349654.1,xm_016213914.1,xm_001365196.3,xm_013062495.1,xm_008838485.2,xm_003266038.1,,xm_012513003.1,xm_004403424.1,xm_004270788.1,xm_008274520.2,xm_012802741.1,xm_015101254.1,xm_003806767.2,xm_001156488.4,xm_009214356.2,nm_001131470.2,xm_012664492.1,xm_011372741.1,xm_010380246.1,xm_016122146.1,xm_003925768.1,xm_004608499.1,xm_005672519.2,xm_012555008.1,xm_006169509.2,xm_004326763.1
SMPD2,Alcohol,NM_003080,nm_001266860.1,nm_009213.2,nm_031360.2,xm_002925650.3,xm_012438389.1,nm_001075383.2,xm_002746992.3,xm_010989598.1,xm_014118189.1,xm_013966440.2,xm_003466041.3,xm_004422199.2,xm_012050465.1,xm_005377875.2,xm_008007369.1,xm_006839939.1,xm_004674080.2,xm_003496988.3,xm_004468395.2,xm_013022350.1,xm_004702177.1,xm_006881226.1,xm_008157443.1,xm_014735279.1,xm_007531166.2,xm_011282513.2,xm_008577425.1,xm_004044510.2,xm_004873968.1,xm_005330157.2,xm_012949235.1,xm_003404054.2,xm_005551558.2,xm_011758903.1,xm_011975979.1,xm_017661024.1,xm_005073236.2,xm_012753206.2,xm_005363569.2,xm_016217530.1,xm_007484425.2,xm_004753485.1,xm_008852427.1,xm_003255552.3,xm_004580506.2,xm_004637487.1,xm_004406699.1,xm_004264737.2,xm_002714893.3,xm_003781585.2,xm_015097260.1,xm_003805514.3,xm_001152001.4,xm_003898331.3,xm_002817227.3,xm_012651193.1,xm_011364840.1,xm_010371615.1,xm_016160209.1,xm_003935951.2,xm_004605716.1,xm_001925290.4,xm_004372453.1,xm_006156978.2,
SMPDL3A,Alcohol,NM_001286138,xm_001108274.3,nm_020561.2,nm_001005539.1,xm_019800139.1,xm_012450053.1,xm_010808401.2,xm_002746922.3,xm_010979178.1,xm_533485.5,xm_018052991.1,xm_003479735.3,xm_004422278.2,xm_012031634.1,xm_005389295.2,xm_008007181.1,xm_006834734.1,xm_004674101.2,xm_007614658.1,xm_004469085.2,xm_013035114.1,xm_004702211.1,xm_006879143.1,xm_008138715.1,xm_014734741.1,xm_007521306.2,xm_019831163.1,xm_008566869.1,xm_004044621.2,xm_004860143.1,xm_013365295.1,xm_004651350.1,xm_010595307.1,xm_015448614.1,xm_011713987.1,xm_011992157.1,xm_017659014.1,xm_013115812.1,xm_012777525.2,xm_005363643.1,xm_016213036.1,xm_001379980.3,xm_013063289.1,xm_008842728.2,xm_012506160.1,xm_004587307.2,xm_004630297.1,xm_004403622.1,xm_012536873.1,xm_002714799.3,xm_003781843.2,xm_012182491.2,xm_008952939.1,xm_009451923.2,xm_003898237.3,xm_002817317.3,xm_012643802.1,xm_011386778.1,xm_010375407.1,xm_016153977.1,xm_010343038.1,xm_004614019.1,xm_003480256.3,xm_004382725.2,xm_006171526.2,xm_019951901.1
SNCA,Alcohol,NM_000345,xm_015138785.1,nm_009221.2,nm_019169.2,xm_011223031.2,xm_012437762.1,xm_005207755.3,xm_002745592.2,xm_010994187.1,xm_855849.3,xm_013964538.2,xm_003467473.3,xm_014787890.1,xm_012040070.1,xm_013517311.1,xm_007999269.1,xm_006867778.1,xm_012724281.1,xm_003503728.2,xm_004480540.2,xm_013029738.1,xm_004703260.1,xm_006894484.1,xm_008143553.1,xm_005608622.2,xm_007529540.2,xm_003985175.4,xm_008579352.1,xm_004039121.2,xm_004848077.2,xm_005337534.1,xm_004665414.1,xm_003414081.2,xm_005555420.2,xm_011737684.1,xm_011992181.1,xm_017643126.1,xm_013117722.1,xm_012774027.2,xm_013351283.1,xm_016203220.1,xm_007478210.2,xm_004756076.1,xm_008844628.2,xm_003257539.3,xm_004590572.2,xm_004648399.1,xm_012562721.1,xm_004276970.1,xm_002717000.3,xm_003790014.2,xm_012179348.1,xm_003829888.2,xm_009447911.2,xm_017958852.1,xm_009240186.1,xm_012647163.1,xm_011356291.1,xm_010376279.1,xm_016161073.1,xm_003924012.2,xm_004611437.1,xm_005666991.2,xm_004389010.2,xm_006143241.2,xm_019926420.1
SNCB,Alcohol,NM_001001502,nm_001261540.1,xm_006517015.3,xm_006253594.2,xm_019802281.1,xm_012466374.1,nm_001075360.1,xm_002744507.3,xm_010992423.1,xm_847475.4,xm_018050638.1,xm_003473233.3,xm_004428485.2,xm_012051102.1,xm_005376395.2,xm_008015387.1,xm_006873469.1,xm_004679251.2,xm_003498163.1,xm_004460004.1,xm_013016046.1,xm_004696812.1,xm_006884383.1,xm_008142852.1,xm_014730348.1,xm_007524354.2,xm_011285213.2,xm_008584926.1,xm_004043056.2,xm_004836323.1,xm_005333155.1,xm_004665040.1,xm_010592737.1,xm_005558602.2,xm_011740160.1,xm_011989995.1,xm_017668539.1,xm_005078343.2,xm_020284274.1,xm_005355214.2,xm_016197139.1,xm_007478210.2,xm_004737530.2,xm_008847310.2,xm_012504534.1,xm_004587393.1,xm_004632292.2,xm_004401432.1,xm_004284828.2,xm_002710415.3,xm_003781907.2,xm_004021542.3,xm_003806842.2,xm_001136728.5,xm_003900569.2,xm_002816247.2,xm_012659478.1,xm_011362232.1,xm_010386390.1,xm_016158420.1,xm_003936114.2,xm_004611437.1,xm_005661456.2,xm_004371164.2,xm_006158881.2,xm_004313003.2
SOD2,Alcohol,NM_000636,xm_015137250.1,nm_013671.3,nm_017051.2,xm_002925345.3,xm_012451360.1,xm_010808730.1,nm_001267746.1,nm_001319878.1,xm_533463.5,xm_018053428.1,xm_003466367.3,xm_014795386.1,xm_012050396.1,xm_005390723.2,xm_008007721.1,xm_006868463.1,xm_004678336.2,xm_016968041.1,xm_004449782.2,xm_013024558.1,xm_004701926.1,xm_006882767.1,xm_008154686.1,nm_001082517.2,xm_007536201.2,xm_019831445.1,xm_008585420.1,xm_019029043.1,xm_004869025.2,xm_005321415.2,xm_012951685.1,xm_010598845.1,xm_015448390.1,xm_011758857.1,xm_011975929.1,xm_017666020.1,xm_005065926.2,xm_012759655.2,xm_005363390.2,xm_016211255.1,xm_007484848.2,xm_004770860.1,xm_008833859.2,xm_003271759.3,xm_004595461.2,xm_004639539.2,xm_004401126.2,xm_004278885.2,xm_008263745.2,xm_003792399.2,nm_001280703.1,xm_008959502.1,nm_001009022.1,xm_017958438.1,nm_001133563.1,xm_012646825.1,xm_011380358.1,xm_010368501.1,xm_016152717.1,xm_010344316.1,xm_012932314.1,nm_214127.2,xm_004368802.1,xm_014589241.1,xm_019951789.1
SOX10,Alcohol,NM_006941,xm_002798399.2,nm_011437.1,xm_017594698.1,xm_011218874.2,xm_012458926.1,nm_001193247.1,xm_017963624.1,xm_010983595.1,xm_538379.5,xm_018048743.1,xm_003470485.3,xm_004437845.2,xm_012038202.1,xm_005379237.2,xm_007975734.1,xm_006865195.1,xm_012735063.1,xm_003510279.2,xm_004466210.1,xm_013024933.1,xm_013004036.1,xm_006890127.1,xm_008144636.1,xm_014736909.1,xm_007519327.2,xm_019835789.1,xm_008591022.1,xm_019020549.1,xm_004845626.2,xm_005322261.2,xm_004650299.1,xm_003419769.2,xm_005567327.2,xm_011712410.1,xm_011979111.1,xm_017653077.1,xm_005066979.2,xm_012741844.1,xm_005354207.2,xm_016222515.1,xm_001381497.3,xm_004743206.2,xm_008851281.1,xm_012507575.1,xm_004589514.1,xm_004634607.1,xm_004410779.2,xm_004279473.1,xm_002723532.3,xm_003783218.2,xm_012175629.2,xm_008975065.2,xm_016939155.1,xm_009217269.2,xm_003779550.2,xm_012638137.1,xm_011387671.1,xm_010389221.1,xm_016161780.1,xm_003932874.2,xm_012933211.1,xm_003481547.3,xm_004373848.1,xm_006166249.2,xm_019943289.1
SOX2,Alcohol,NM_003106,xm_015131530.1,nm_011443.4,nm_001109181.1,xm_019802398.1,xm_012457909.1,nm_001105463.2,xm_008981272.1,xm_010976367.1,xm_005639752.2,nm_001285672.1,xm_003467552.3,xm_004424682.2,xm_012088768.1,xm_005383075.2,xm_007972005.1,xm_006869817.1,xm_004675014.2,xm_003504029.2,xm_004477633.2,xm_013033045.1,xm_004708689.2,xm_006884049.1,xm_008142382.1,xm_003363345.3,xm_007518317.2,nm_001173447.1,xm_008578543.1,xm_019023024.1,xm_004834658.2,xm_005330257.1,xm_004652072.1,xm_003412876.2,xm_005546468.2,xm_011738521.1,xm_011968868.1,xm_017641145.1,xm_005069706.2,xm_012736975.2,xm_005343791.1,xm_016218030.1,xm_001368783.4,xm_004745498.1,xm_008835394.1,xm_012510667.1,xm_012928698.1,xm_004644565.2,xm_004416721.2,xm_004278399.2,xm_008266557.2,xm_003800094.2,xm_012098434.2,xm_008957354.2,xm_516895.6,xm_009201309.2,xm_002814321.3,xm_012641038.1,xm_011382865.1,xm_010363523.1,xm_016138026.1,xm_010337877.1,xm_004603074.1,nm_001123197.1,xm_012557250.1,xm_006147386.1,xm_004311784.2
SOX9,Alcohol,NM_000346,nm_001032868.1,nm_011448.4,nm_080403.1,xm_019804528.1,xm_012453938.1,xm_015468287.1,xm_017971743.1,xm_010975985.1,nm_001002978.1,xm_018063905.1,xm_003470485.3,xm_004432705.2,xm_012042697.1,xm_005402098.2,xm_008011956.1,xm_006872297.1,xm_004693465.2,xm_007623250.1,xm_004447470.2,xm_013037384.1,xm_004709327.1,xm_006886245.1,xm_008156256.1,xm_014736619.1,xm_007524503.2,xm_019816965.1,xm_008590157.1,xm_019028278.1,xm_004860560.1,xm_005335987.2,xm_004655660.1,xm_010596991.1,xm_015438778.1,xm_011719660.1,xm_012001855.1,xm_017664441.1,xm_005069968.2,xm_012747484.2,xm_005350670.1,xm_016222515.1,xm_001370019.3,xm_004749062.2,xm_008850868.1,xm_003276087.3,xm_004592949.1,xm_004630058.2,xm_004401846.2,xm_004275425.1,xm_008271763.2,xm_003786172.2,xm_015098410.1,xm_008962871.1,nm_001009029.1,xm_003913356.3,xm_009251989.1,xm_012662389.1,xm_011370402.1,xm_010389446.1,xm_016143630.1,xm_010342481.1,xm_012934878.1,nm_213843.2,xm_004374178.1,xm_006145886.2,xm_019938575.1
SPARC,4,NM_001309443,xm_015141267.1,nm_001290817.1,xm_008767663.2,xm_019801278.1,xm_012467371.1,nm_174464.2,xm_008988403.2,xm_010987275.1,xm_005619272.2,xm_013965444.2,xm_003464476.3,xm_004428629.2,xm_012068850.1,xm_005376167.2,xm_008015060.1,xm_006863898.1,xm_012734631.1,xm_016967306.1,xm_004453455.2,xm_013033823.1,xm_004696735.1,xm_006893680.1,xm_008152239.1,nm_001143953.2,xm_016190663.1,xm_003981374.4,xm_008577675.1,xm_004042854.2,xm_004836548.2,xm_005325478.2,xm_012950695.1,xm_003404613.2,xm_005558311.2,xm_011715924.1,xm_011985298.1,xm_017670623.1,xm_013111769.1,xm_012740879.2,xm_005350046.2,xm_016213856.1,xm_001369467.4,xm_004737781.2,xm_008851865.2,xm_003276547.3,xm_004587515.2,xm_004629368.1,xm_012563242.1,xm_004280325.1,xm_008255285.2,xm_012808210.1,xm_012177565.2,xm_008954423.2,xm_001168719.3,xm_003900399.3,nm_001135387.1,xm_012658283.1,xm_011371240.1,xm_010358657.1,xm_016118760.1,xm_010344580.1,xm_012933442.1,nm_001031794.1,xm_004371290.2,xm_014588725.1,xm_019924769.1
SPSB1,Alcohol,NM_025106,xm_015146899.1,nm_029035.2,xm_006239462.3,xm_019799085.1,xm_012473716.1,xm_005216941.3,xm_009000372.2,xm_011000799.1,xm_014113915.1,xm_018060389.1,xm_013154162.1,xm_004425552.2,xm_012049452.1,xm_005404042.2,xm_007980639.1,xm_006873093.1,xm_004678495.2,xm_007651582.2,xm_012529857.1,xm_013031109.1,xm_004705189.1,xm_006885776.1,xm_008151745.1,xm_001494636.4,xm_007534157.2,xm_019836102.1,xm_008567873.1,xm_004024606.2,xm_004863654.1,xm_013362596.1,xm_004657671.1,xm_010593139.1,xm_015442966.1,xm_011736892.1,xm_011994200.1,xm_017674433.1,xm_005079293.2,xm_012791460.2,xm_005353683.1,xm_016214720.1,xm_016422559.1,xm_013064673.1,xm_008831914.2,xm_012498355.1,xm_004596070.1,xm_004639635.1,xm_004397565.2,xm_004272363.2,xm_008265961.2,xm_003793251.2,xm_012187362.2,xm_003822117.2,xm_009447858.1,xm_009188522.2,xm_009235476.1,xm_012662639.1,xm_011382607.1,xm_010364183.1,xm_016163602.1,xm_003927919.2,xm_004607059.1,xm_013982088.1,xm_004385137.1,xm_014586588.1,xm_019934120.1
SPTBN2,Alcohol,NM_006946,xm_015113616.1,nm_021287.1,xm_008760094.2,xm_019808543.1,xm_012436960.1,xm_015473439.1,xm_009008536.1,xm_010998161.1,xm_005631420.2,xm_018043086.1,xm_013150800.1,xm_014793047.1,xm_012041533.1,xm_013513886.1,xm_007972886.1,xm_006860869.1,xm_012725303.1,xm_007650784.2,xm_012527225.1,xm_013021139.1,xm_004713706.1,xm_006893272.1,xm_008146888.1,xm_005598329.2,xm_007518775.2,xm_019812716.1,xm_008578986.1,xm_019037284.1,xm_013074796.1,xm_005333368.1,xm_004656736.1,xm_010599013.1,xm_015434409.1,xm_011720982.1,xm_011986959.1,xm_017667203.1,xm_005064049.2,xm_012757509.2,xm_005351681.2,xm_016208344.1,xm_016425366.1,xm_004759484.2,xm_008822856.2,xm_004087845.2,xm_004596629.1,xm_004627175.1,xm_004393862.2,xm_004277987.1,xm_017346950.1,xm_012810464.1,xm_015103197.1,xm_003828700.3,xm_016921316.1,xm_003909502.3,xm_002821465.3,xm_012665639.1,xm_011368937.1,xm_010366390.1,xm_016132707.1,xm_010352004.1,xm_004618457.1,xm_013978292.1,xm_004383677.1,xm_006171311.1,xm_019942659.1
STMN2,Alcohol,NM_001199214,nm_001265775.1,nm_025285.2,nm_053440.2,xm_011235550.2,xm_012450934.1,nm_001034622.1,xm_008982816.1,xm_010979401.1,xm_855591.4,xm_005689118.2,xm_013144123.1,xm_004427136.2,xm_012031887.1,xm_005392064.2,xm_008000946.1,xm_006830799.1,xm_004679782.2,xm_007621556.2,xm_004479093.2,xm_013012372.1,xm_004697505.2,xm_006880482.1,xm_008139189.1,xm_001490291.5,xm_007520162.2,xm_003999916.4,xm_008584278.1,xm_019032477.1,xm_004842020.2,xm_005341358.1,xm_004656888.1,xm_010588365.1,nm_001283307.1,xm_011744425.1,xm_011989074.1,xm_017643485.1,xm_005066780.2,xm_012740014.1,xm_005361791.1,xm_016215996.1,xm_007486919.1,xm_013046724.1,xm_008826059.1,xm_012496090.1,xm_004588067.2,xm_004639752.2,xm_004393723.1,xm_004276185.2,xm_002710651.3,xm_003782536.2,xm_004011755.3,xm_008956666.1,xm_009455537.2,xm_003902892.3,xm_009243896.1,xm_012663154.1,xm_011376255.1,xm_010378496.1,xm_016151483.1,xm_010350899.1,xm_004602375.2,xm_001928556.6,xm_004386006.2,xm_006168917.2,xm_019926271.1
STX1A,Alcohol,NM_001165903,nm_001032865.1,nm_016801.4,nm_053788.2,xm_002923488.3,xm_012449054.1,xm_005225244.2,xm_002743930.3,xm_010980765.1,xm_005620964.2,xm_018041038.1,xm_003470118.3,xm_004442114.2,xm_012076432.1,xm_005396766.1,xm_008018340.1,xm_006859700.1,xm_004688297.2,xm_007641654.2,xm_004450932.2,xm_013033194.1,xm_004705628.1,xm_006889680.1,xm_008141482.1,xm_005598686.2,xm_007517958.2,xm_006942057.3,xm_008580307.1,xm_004045562.2,xm_004840049.1,xm_005328525.2,xm_004666259.1,xm_010598531.1,xm_005549374.2,xm_011715364.1,xm_011976338.1,xm_017662559.1,xm_005080351.2,xm_012742227.2,xm_005344642.1,xm_016199021.1,xm_001379241.4,xm_013061060.1,xm_008848387.2,xm_004090939.1,xm_004587002.2,xm_004630429.1,xm_004399104.2,xm_004268789.1,xm_008249094.1,xm_003794246.2,xm_015104204.1,xm_008968525.2,xm_016945270.1,xm_003895878.1,nm_001133472.1,xm_012640330.1,xm_011371521.1,xm_010387462.1,xm_016146577.1,xm_003934110.2,xm_004620843.1,xm_003124422.4,xm_004380756.1,xm_014590315.1,xm_019921695.1
STXBP2,Alcohol,NM_001127396,xm_015122687.1,xm_006508742.1,xm_006248783.3,xm_002921903.3,xm_012436162.1,nm_001046208.2,xm_008987110.2,xm_010978246.1,nm_001003216.1,xm_018044642.1,xm_003468375.2,xm_014797703.1,xm_012067285.1,xm_005413173.2,xm_007995061.1,xm_006868858.1,xm_004689422.2,xm_003507748.2,xm_012519073.1,xm_013033592.1,xm_004717325.1,xm_006902660.1,xm_008151398.1,xm_014741083.1,xm_007532816.2,xm_003981805.3,xm_008580592.1,xm_019014471.1,xm_004865356.2,xm_005332114.1,xm_004661745.1,xm_010600846.1,xm_005587771.2,xm_011745948.1,xm_011982040.1,xm_017664583.1,xm_005085266.2,xm_012790758.2,xm_005371741.2,xm_016217428.1,xm_001366281.3,xm_004771706.2,xm_008844533.1,xm_003281055.3,xm_004595721.1,xm_004644894.1,xm_012566543.1,xm_004277298.2,xm_008249164.1,xm_003803418.2,xm_015095641.1,xm_003810007.2,nm_001280150.1,xm_003914789.2,nm_001131428.1,xm_012641490.1,xm_011383257.1,xm_010385072.1,xm_016163184.1,xm_003938884.2,xm_004614778.1,xm_003123150.5,xm_012556178.1,xm_006170224.2,xm_019949268.1
SYN1,Opiods,NM_006950,xm_015127295.1,nm_013680.4,nm_019133.2,xm_002917774.3,xm_012477381.1,nm_174191.2,xm_003735723.3,xm_010996299.1,xm_003435504.3,xm_018043746.1,xm_005000241.2,xm_004434993.2,xm_012070166.1,xm_005408937.2,xm_007991542.1,xm_006864219.1,xm_004689989.2,xm_007630135.2,xm_004472146.2,xm_013035536.1,xm_004713185.2,xm_006898908.1,xm_008152989.1,xm_005614711.2,xm_007537349.2,xm_019823364.1,xm_008577386.1,xm_004064075.2,xm_004875300.2,xm_005324025.1,xm_004668814.1,xm_010597769.1,xm_005593426.2,xm_011711326.1,xm_011982873.1,xm_017662636.1,xm_005085714.2,xm_012748313.1,xm_013352892.1,xm_016218398.1,xm_001371104.4,xm_004754979.2,xm_008842513.2,xm_012498602.1,xm_012927759.1,xm_004633510.1,xm_004396752.2,xm_004281980.1,xm_008272551.2,xm_003799624.2,xm_015104911.1,xm_014343424.1,xm_016943247.1,xm_003917636.2,xm_002831570.3,xm_012652329.1,xm_011380079.1,xm_010366133.1,xm_016141810.1,xm_010350253.1,xm_004612883.1,nm_001141988.1,xm_004376884.1,xm_006165798.2,xm_019943408.1
SYN2,Alcohol,NM_003178,xm_015130218.1,nm_013681.3,nm_019159.1,xm_002921274.3,xm_012473041.1,xm_015468807.1,xm_017965102.1,xm_010985007.1,xm_541766.4,xm_018038201.1,xm_003462737.3,xm_014797384.1,xm_012060180.1,xm_013515353.1,xm_007985255.1,xm_006872176.1,xm_004692370.2,xm_016968785.1,xm_004456128.1,xm_013010338.1,xm_004702386.2,xm_006895368.1,xm_008156373.1,xm_014731354.1,xm_007517092.2,xm_011280214.2,xm_008592123.1,xm_019024211.1,xm_004875120.1,xm_005333862.2,xm_004651595.1,xm_003409971.2,xm_015446283.1,xm_011734382.1,xm_011983589.1,xm_017655855.1,xm_013110312.1,xm_012785264.2,xm_013352892.1,xm_016209917.1,xm_016423707.1,xm_013052398.1,xm_008854903.1,xm_003264986.3,xm_004581313.2,xm_004645606.1,xm_012560749.1,xm_004284286.2,xm_017343741.1,xm_012809251.1,xm_015102478.1,xm_014344177.1,xm_001171832.4,xm_017955244.1,xm_009238693.1,xm_012655174.1,xm_011370555.1,xm_010377290.1,xm_016125408.1,xm_010337749.1,xm_004612884.1,xm_013981985.1,xm_004368337.1,xm_006160687.1,xm_019944651.1
SYT11,4,NM_152280,xm_015111700.1,xm_006501348.1,xm_006232748.1,xm_002928279.3,xm_012449883.1,nm_001099171.2,xm_008984583.2,xm_010999486.1,xm_846821.4,xm_005677372.3,xm_005006164.2,xm_004436181.2,xm_012078620.1,xm_005411617.2,xm_007976807.1,xm_006861568.1,xm_004693824.2,xm_007643547.2,xm_004448599.2,xm_013015165.1,xm_004714680.1,xm_006895780.1,xm_008155679.1,xm_001499240.4,xm_016195087.1,xm_011291183.2,xm_008570822.1,xm_004026935.2,xm_004871152.2,xm_013361100.1,xm_004667260.1,xm_010595011.1,xm_015451195.1,xm_011769770.1,xm_011992711.1,xm_017673024.1,xm_005065317.2,xm_012767801.1,xm_005367123.2,xm_016221648.1,xm_007482046.2,xm_004778560.2,xm_008853968.2,xm_003259437.2,xm_004589017.2,xm_004629754.1,xm_004402936.2,xm_004284588.1,xm_002715409.3,xm_012808644.1,xm_004002595.3,xm_008974592.2,xm_009433948.2,xm_003892794.3,nm_001133501.1,xm_012658912.1,xm_011366514.1,xm_010368105.1,xm_016166301.1,xm_003937816.2,xm_004619296.1,xm_001928804.5,xm_004388503.1,xm_006155159.2,xm_004312516.2
